ScanID,TargetSubnet,IPAddress,Hostname,HostStatus,MACAddress,ResponseTime,OSDetected,Port,Protocol,Service,PortState,Product,Version,Banner
SCAN-3F9F0A,192.168.29.192/16,192.168.29.1,reliance.reliance,ONLINE,Unknown,0.57ms,Linux/Unix,53,tcp,DNS,OPEN,Unknown,Unknown,
SCAN-3F9F0A,192.168.29.192/16,192.168.29.1,reliance.reliance,ONLINE,Unknown,0.57ms,Linux/Unix,80,tcp,HTTP,OPEN,Unknown,Unknown,
SCAN-3F9F0A,192.168.29.192/16,192.168.29.1,reliance.reliance,ONLINE,Unknown,0.57ms,Linux/Unix,443,tcp,HTTPS,OPEN,Unknown,Unknown,
SCAN-3F9F0A,192.168.29.192/16,192.168.29.1,reliance.reliance,ONLINE,Unknown,0.57ms,Linux/Unix,8080,tcp,HTTP-Proxy,OPEN,JCOW414,JUICEJFV-1.3.32,"HTTP/1.1 503 Service Unavailable
Content-Length: 19
Content-Type: text/html
Connection: close
Server: JCOW414/JUICEJFV-1.3.32

Service Unavailable"
SCAN-3F9F0A,192.168.29.192/16,192.168.29.1,reliance.reliance,ONLINE,Unknown,0.57ms,Linux/Unix,8443,tcp,HTTPS-Alt,OPEN,Unknown,Unknown,
SCAN-3F9F0A,192.168.29.192/16,192.168.29.121,Unknown,ONLINE,Unknown,2.2ms,Linux/Unix,,,,,,,
SCAN-3F9F0A,192.168.29.192/16,192.168.29.187,Unknown,ONLINE,Unknown,2.41ms,Linux/Unix,,,,,,,
SCAN-3F9F0A,192.168.29.192/16,192.168.29.192,Unknown,ONLINE,Unknown,8.44ms,Linux/Unix,,,,,,,
SCAN-3F9F0A,192.168.29.192/16,192.168.29.96,Unknown,ONLINE,Unknown,30.2ms,Linux/Unix,,,,,,,
SCAN-3F9F0A,192.168.29.192/16,192.168.29.97,shinjan,ONLINE,Unknown,0.04ms,Linux/Unix,5000,tcp,Unknown,OPEN,Unknown,Unknown,
